"Song Title","Lyrics","Audio Playback Link","Artist/Composer","Genre","ID","Created Date","Updated Date","Owner"
"Naa stuthi pathruda ","Verse 1
నా స్తుతి పాత్రుడా – నా యేసయ్యా
నా ఆరాధనకు నీవె యోగ్యుడవయ్యా 

Verse 2
1. నీ వాక్యమే నా పరవశము
నీ వాక్యమే నా ఆత్మకు ఆహారము -2
నీ వాక్యమే నా పాదములకు దీపము -3

Verse 3
2. నీ కృపయే నా ఆశ్రయము
నీ కృపయే నా ఆత్మకు అభిషేకము -2
నీ కృపయే నా జీవన ఆధారము -3

Verse 4
3. నీ సౌందర్యము యెరూషలేము
నీ పరిపూర్ణత సీయోను శిఖరము -2
నీ పరిపూర్ణత నా జీవిత గమ్యము -3

",,,,"13c30465-9d23-40de-9c4f-ba1ef465181d",2026-03-15T14:16:08Z,2026-03-15T14:16:38Z,"58160ff6-eb77-4c53-9e17-c45945cb2ba7"
"Nirantharam Neethone Jeevinchaalane","Verse 1
నిరంతరం నీతోనే జీవించాలనే
ఆశ నన్నిల బ్రతికించుచున్నది (2)
నా ప్రాణేశ్వరా యేసయ్యా
నా సర్వస్వమా యేసయ్యా     ||నిరంతరం||

Verse 2
చీకటిలో నేనున్నప్పుడు
నీ వెలుగు నాపై ఉదయించెను (2)
నీలోనే నేను వెలగాలని
నీ మహిమ నాలో నిలవాలని (2)
పరిశుద్ధాత్మ అభిషేకముతో
నన్ను నింపుచున్నావు నీ రాకడకై     ||నిరంతరం||

Verse 3
నీ రూపము నేను కోల్పయినా
నీ రక్తముతో కడిగితివి (2)
నీతోనే నేను నడవాలని
నీ వలెనే నేను మారాలని (2)
పరిశుద్ధాత్మ వరములతో
అలంకరించుచున్నావు నీ రాకడకై     ||నిరంతరం||

Verse 4
తొలకరి వర్షపు జల్లులలో
నీ పొలములోని నాటితివి (2)
నీలోనే చిగురించాలని
నీలోనే ఫలించాలని (2)
పరిశుద్ధాత్మ వర్షముతో
సిద్ధపరచుచున్నావు నీ రాకడకై     ||నిరంతరం||

",,,,"1f0d77dd-4315-4312-b33a-57c7136f8a93",2026-03-15T14:16:46Z,2026-03-15T14:17:07Z,"58160ff6-eb77-4c53-9e17-c45945cb2ba7"
"Great Are You Lord","You give life, You are love, You bring light to the darkness, You give hope, You restore every heart that is broken, Great are You, Lord. It's Your breath in our lungs, so we pour out our praise, we pour out our praise. It's Your breath in our lungs, so we pour out our praise to You only.","https://example.com/audio/great_are_you_lord.mp3","All Sons & Daughters","Contemporary Worship","3148384d-29b1-4bf1-9b9e-e31eb1b9a8ca",2026-03-15T11:47:16Z,2026-03-15T11:47:16Z,"9e129b4b-29b8-4ea4-936b-c66ed7f35ce3"
,,,,,"4471ad08-b410-467b-8cde-2016b6521895",2026-03-15T14:20:48Z,2026-03-15T14:20:48Z,"58160ff6-eb77-4c53-9e17-c45945cb2ba7"
"neelone anandam","Verse 1
నీలోనే ఆనందం నా దేవా
నీలోనే నాకు జీవం  (2)
నిన్న నేడు నిరంతరం మారని దేవా (2)

Verse 2
ఈ లోకమంత నేను వేదకినా
లేదయ్యా ఎక్కడ ఆనందం
నీ సన్నిధిలో ఒక్క క్షణం గడిపినా
నా హృదయం పొంగెను  (2)

Verse 3
ఈ లోకం ఒక మాయని తెలుసుకున్నను
ఏది నా సొంతం కాదనుకున్నాను (2)
తప్పిపోయిన కుమారుని నేనయితే
నా కొరకై నిరీక్షించే తండ్రి నా యేసూ (2)

Verse 4
                                      
ఏ ప్రేమా నీ ప్రేమకు సాటిరాదయ్యా
ఎన్ని ఉన్నా నీతో సరియేదికాదయా (2)
నన్ను మరువని ప్రేమ నీదయ్యా
నన్ను మార్చుకున్న ప్రేమ నీదే యేసయ్యా (2)
                                      

",,,,"4e24663a-4b32-4102-83db-7e71bfe5d870",2026-03-15T14:19:47Z,2026-03-15T14:20:04Z,"58160ff6-eb77-4c53-9e17-c45945cb2ba7"
"How Great Thou Art","O Lord my God, when I in awesome wonder, consider all the worlds Thy hands have made; I see the stars, I hear the mighty thunder, Thy power throughout the universe displayed. Then sings my soul, my Savior God, to Thee, how great Thou art, how great Thou art!","https://example.com/audio/how_great_thou_art.mp3","Stuart K. Hine","Hymn","6261720a-d6ce-41fc-ab04-fb6f90a1db2d",2026-03-15T11:47:16Z,2026-03-15T11:47:16Z,"9e129b4b-29b8-4ea4-936b-c66ed7f35ce3"
"Reckless Love","Oh, the overwhelming, never-ending, reckless love of God. Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine. I couldn't earn it, and I don't deserve it, still, You give Yourself away. Oh, the overwhelming, never-ending, reckless love of God.","https://example.com/audio/reckless_love.mp3","Cory Asbury","Contemporary Worship","6458a361-cfaa-4958-86da-9574b9fe4cd6",2026-03-15T11:47:16Z,2026-03-15T11:47:16Z,"9e129b4b-29b8-4ea4-936b-c66ed7f35ce3"
"Amazing Grace","Amazing grace! How sweet the sound, that saved a wretch like me! I once was lost, but now am found, was blind, but now I see. 'Twas grace that taught my heart to fear, and grace my fears relieved; how precious did that grace appear the hour I first believed!","https://example.com/audio/amazing_grace.mp3","John Newton","Hymn","75552c5d-990f-4da5-9b07-fdc2f7a251c2",2026-03-15T11:47:16Z,2026-03-15T11:47:16Z,"9e129b4b-29b8-4ea4-936b-c66ed7f35ce3"
"Goodness of God","I love You, Lord, oh Your mercy never fails me. All my days, I've been held in Your hands. From the moment that I wake up, until I lay my head, oh, I will sing of the goodness of God. All my life You have been faithful, all my life You have been so, so good. With every breath that I am able, oh, I will sing of the goodness of God.","https://example.com/audio/goodness_of_god.mp3","Bethel Music","Contemporary Worship","78688777-3a07-44e1-90ab-52d49492a722",2026-03-15T11:47:16Z,2026-03-15T11:47:16Z,"9e129b4b-29b8-4ea4-936b-c66ed7f35ce3"
"Kannulu Jarina Kannillu","Verse 1
కన్నులు జారిన కన్నీళ్లు 
తడిపెను దేవుని పాదాలు 
ఇప్పటి నుండి నీ కళ్ళు 
చూచును దేవుని కార్యాలు 

Verse 2
ఉందిలే దీవెన ఎందుకావేదన 
పొందిన యాతన దేవుడే మరచునా (2) 

Verse 3
పలుకాకి లోకం నిందించిన
ఏకాకివై నీవు రోదించిన
అవమాన పర్వాలు ముగిసేనులే 
ఆనంద గీతాలు పాడేవులే

Verse 4
నవ్వినోల్లంతా నీ ముందు 
తల వంచేను ఇక ముందు

Verse 4
2.అనుకొనని శ్రమ లెన్నో ఎదిరించిన 
ఆత్మీయుల  ప్రేమ నిదురించిన 
అసమానమైన నా దేవుని 
బలమైన బాహువు నిను వీడునా 

Verse 5
యేసు నిలిచాడు నీ ముందు 
నీకు చేసెను కనువిందు (2)                  

",,,,"8685f3e2-a109-4b13-bbd7-92f2d3c79732",2026-03-15T14:18:10Z,2026-03-15T14:18:30Z,"58160ff6-eb77-4c53-9e17-c45945cb2ba7"
